teochew_puj_flat,teochew_puj,teochew,mandarin,en
lau2 kiann2,láu-kiáⁿ,漏囝,騙子,
lau2 nang5,láu-nâng,漏儂,騙人,
lau2 nang5,láu-nâng,漏人,騙人,
lau2 sit8,láu-si̍t,老實,老實,
lau3 sai2,làu-sái,漏屎,腹瀉,
lau5 hueh,lâu-hueh,流血,流血,
lau5 kho2,lâu khó,流涸,退潮,
lau5 kuann7,lâu-kuāⁿ,流汗,流汗,
lau5 lui6,lâu-lũi,勞累,,
lau5 lur2,lâu--lṳ́,勞汝,有勞你,
lau5 lur2,lâu--lṳ́,勞你,有勞你,
lau5 mak8 tsap,lâu-ma̍k-tsap,流目汁,流眼淚,
lau5 nuann6,lâu-nuãⁿ,流涎,流涎,
lau5 pang,lâu-pang,樓枋,樓枋,
lau5 pinn,lâu piⁿ,留辮,,
lau5 thui,lâu-thui,樓梯,樓梯,
lau5 tinn6,lâu tĩⁿ,流漲,漲潮,
lau5 tsui2,lâu-tsúi,流水,流水,
lau5 tsui2 hiong5,lâu-tsúi hiông,流水雄,高潮,
lau5 tsui2 penn5,lâu-tsúi pêⁿ,流水平,低潮,
lau6 chek,lãu-chek,老叔,老叔,
lau6 hau3,lãu-hàu,栳㭳,肉豆蔻,
lau6 hong2 senn tsu,lãu hóng seⁿ tsu,老蚌生珠,老蚌生珠,
lau6 hounn2,lãu-hóuⁿ,老虎,老虎,
lau6 ia5,lãu-iâ,老爺,老爺,
lau6 ia5 keng,lãu-iâ-keng,老爺宮,老爺宮,
lau6 jiet8,lãu-jie̍t,鬧熱,鬧熱,
lau6 kong,lãu-kong,老公,老公,
lau6 kou,lãu-kou,老姑,老姑,
lau6 mann2,lãu-máⁿ,老媽,老媽,
lau6 nang5 kuai2,lãu-nâng-kuái,老人柺,,
lau6 pan2,lãu-pán,老闆,,
lau6 peh,lãu-peh,老伯,老伯,
lau6 phua5,lãu-phuâ,老婆,老婆,
lau6 tua7,lãu-tuā,老大,老大,
lau7 bo2 tso5,lāu-bó-tsô,流水槽,水槽,
lek8 lou7,le̍k-lōu,陸路,,
lek8 sok,le̍k-sok,勒索,勒索,
leng5 cheng,lêng-cheng,靈精,機靈,
leng5 he5,lêng-hê,龍蝦,龍蝦,
leng5 hun5,lêng-hûn,靈魂,靈魂,
leng5 lai7,lêng-lāi,伶俐,伶俐,
leng5 ui5,lêng-ûi,能爲,能力,
leng5 ui7,lêng-ūi,龍位,王位,
li2 sur7,lí-sṳ̄,理事,理事,
li5,lî,詈,責罵,
li5 chhin3,lî-chhìn,厘秤,厘秤,
li5 keng,lî-keng,離經,離經,
li5 khui,lî-khui,離開,離開,
li5 piet8,lî-pie̍t,離別,離別,
li6 chit,lĩ-chit,痢疾,痢疾,
li6 hai7,lĩ-hāi,厲害,厲害,
liah8 tua6,lia̍h-tuã,掠舵,掌舵,
liam5 liam5,liâm-liâm,簾簾,,
liam7 keng,liām-keng,唸經,,
liam7 keng,liām-keng,唸經,唸經,
liam7 lou7,liām-lōu,念路,抱怨,
liau2 koi3,liáu-kòi,瞭解,,
liau5 mo7,liâu-mō,瞭望,,
lien5 hi6,liên-hĩ,聯繫,,
lim,lim,啉,飲(酒),
lim2 lim2,lím-lím,凜凜,凜凜,
lim5 khim5,lîm-khîm,林擒,釋迦果,
lin3 chinn5,lìn-chîⁿ,輾錢,輪子,
lin5 kurn6,lîn-kṳ̃n,鄰近,鄰近,
lin5 li2,lîn-lí,鄰里,,
lin5 si5,lîn-sî,臨時,臨時,
liou2 tuan6,lióu-tuãn,了斷,,
liou7 li2,liōu-lí,料理,料理,
lip8 ieh,li̍p-ieh,立約,立約,
liu2 phang7,liú-phāng,鈕縫,鈕扣孔,
liu3 loh8 khur3,liù--lo̍h-khṳ̀,溜落去,溜下去,
liu3 puah8,liù-pua̍h,溜跋,溜倒,
liu5 lian5,liû-liân,榴蓮,榴蓮,
liu5 ng5,liû-n̂g,硫磺,硫磺,
liu5 si2,liû-sí,絞死,絞死,
liu5 thu5,liû-thû,流徒,流徒,
liu7 ki5,liū-kî,㨨旗,升旗,
liu7 kim,liū-kim,鍍金,鍍金,
liu7 kim khi3,liū-kim-khì,鎏金器,鎏金器,
liu7 kim khi3,liū-kim-khì,鎦金器,鎏金器,
liu7 ngurn5 khi3,liū-ngṳ̂n-khì,鎏銀器,鎏銀器,
liu7 ngurn5 khi3,liū-ngṳ̂n-khì,鎦銀器,鎏銀器,
lo2 tong7 kai5 nang5,ló-tōng--kâi-nâng,浪蕩嘅儂,流浪的人,
lo2 tong7 kai5 nang5,ló-tōng--kâi-nâng,浪蕩嘅人,流浪的人,
lo5,lô,腡,指紋,
lo5,lô,醪,渾濁,
lo5 kenn,lô-keⁿ,羅經,羅盤,
lo5 mang7,lô-māng,羅網,羅網,
lo5 pok8,lô-po̍k,蘿蔔,,
lo5 si teng,lô-si-teng,羅絲釘,羅絲釘,
lo5 si zuan2,lô-si-zuán,羅絲轉,羅絲轉,
lo7 ho,lō-ho,狼犺,,
loh8 be2,lo̍h-bé,落馬,落馬,
loh8 ke3,lo̍h-kè,落價,降價,
loh8 phak8,lo̍h-pha̍k,落雹,下冰雹,
loh8 png2,lo̍h-pńg,落本,投資,
loh8 sek,lo̍h-sek,落色,褪色,
loh8 sin5 phua5,lo̍h-sîn-phuâ,落神婆,女巫,
loh8 suann2,lo̍h-suáⁿ,落產,流產,
loh8 thoh8,lo̍h-tho̍h,駱駝,駱駝,
loh8 tsun5,lo̍h-tsûn,落船,上船,
loi2 pai3,lói-pài,禮拜,星期日,
loi2 pai3 tng5,lói-pài-tn̂g,禮拜堂,教堂,
loi2 siou3,lói-siòu,禮數,禮數,
lok chhiam,lok-chhiam,搖籤,搖籤,
lok lok,lok-lok,漉漉,漉漉,
lok8 sok8,lo̍k-so̍k,陸續,,
long2 tsong2,lóng-tsóng,攏總,總共,
long2 tsong2 sng3,lóng-tsóng-sǹg,攏總算,合計,
long5 leh8,lông-le̍h,農曆,,
lou2 iam5,lóu-iâm,鹵鹽,,
lou2 kou2,lóu-kóu,嶁岣,侏儒,
lou2 nng6,lóu-nñg,滷卵,,
lou6 kiam5,lõu-kiâm,露鹽,露鹽,
lou7 kenn3,lōu-kèⁿ,路徑,,
lou7 kiann2,lōu-kiáⁿ,路囝,小路,
lou7 phie3,lōu-phiè,路票,通行證,
lou7 tsui2,lōu-tsúi,露水,露水,
luah,luah,烙,烙,
lui2 cheh,lúi-cheh,累積,,
lui5 kong,lûi-kong,雷公,雷公,
lui7 lur2,lūi--lṳ́,累汝,勞煩你,
lui7 lur2,lūi--lṳ́,累你,勞煩你,
lun5 lun5,lûn-lûn,崙崙,,
lun5 tieh8 ti5 tiang5,lûn-tie̍h-tî-tiâng,輪着底誰,輪到誰,
lun7 tah8,lūn-ta̍h,蹂踏,蹂踏,
lur2 kai5,lṳ́--kâi,汝个,,
lur2 kai5,lṳ́--kâi,你个,,
lur6 song2 pie,lṳ̃-sóng-pie,呂宋票,呂宋票,
lur6 song3 hun,lṳ̃-sòng-hun,呂宋薰,呂宋菸,
lut khur3,lut--khṳ̀,脫去,脫下,
lut tiou7,lut-tiōu,黜掉,黜掉,
lut8 hong2 siang thi5 hur5 ong tit li6,lu̍t hóng siang thî hṳ̂-ong tit lĩ,鷸蚌相持漁翁得利,鷸蚌相持漁翁得利,
m6 chheng,m̃-chheng,毋清,不清楚,
m6 chheng,m̃-chheng,唔淸,不清楚,
m6 chiu6 li2,m̃-chiũ-lí,毋就理,不合理,
m6 chiu6 li2,m̃-chiũ-lí,唔就理,不合理,
m6 hah8,m̃-ha̍h,毋合,不合,
m6 hah8,m̃-ha̍h,唔合,不合,
m6 hah8 huap,m̃-ha̍h-huap,毋合法,不合法,
m6 hah8 huap,m̃-ha̍h-huap,唔合法,不合法,
m6 haunn3,m̃-hàuⁿ,毋好,不好,
m6 haunn3,m̃-hàuⁿ,唔好,不好,
m6 hiou2,m̃-hióu,毋曉,不懂,
m6 hiou2,m̃-hióu,唔曉,不懂,
m6 hua5,m̃-huâ,毋和,不和,
m6 hua5,m̃-huâ,唔和,不和,
m6 it tit,m̃-it-tit,毋憶得,不記得,
m6 it tit,m̃-it-tit,唔憶得,不記得,
m6 jin7,m̃-jīn,毋認,不認,
m6 jin7,m̃-jīn,唔認,不認,
m6 kai,m̃-kai,毋該,不該,
m6 kai,m̃-kai,唔該,不該,
m6 kann2 kinn3 nang5,m̃-káⁿ-kìⁿ-nâng,毋敢見儂,不敢見人,
m6 kann2 kinn3 nang5,m̃-káⁿ-kìⁿ-nâng,唔敢見人,不敢見人,
m6 kau6 thai6,m̃-kãu-thãi,毋厚待,不厚待,
m6 kau6 thai6,m̃-kãu-thãi,唔厚待,不厚待,
m6 kham,m̃-kham,毋堪,不堪,
m6 kham,m̃-kham,唔堪,不堪,
m6 kham kai,m̃-kham-kai,毋堪該,不應當,
m6 kham kai,m̃-kham-kai,唔堪該,不應當,
m6 kham tng,m̃-kham-tng,毋堪當,不應當,
m6 kham tng,m̃-kham-tng,唔堪當,不應當,
m6 kheng2,m̃-khéng,毋肯,不肯,
m6 kheng2,m̃-khéng,唔肯,不肯,
m6 kinn2 tit,m̃-kíⁿ-tit,毋見得,不見得,
m6 kinn2 tit,m̃-kíⁿ-tit,唔見得,不見得,
m6 kinn3,m̃-kìⁿ,毋見,不見,
m6 kinn3,m̃-kìⁿ,唔見,不見,
m6 kong tau6,m̃-kong-tãu,毋公道,不公道,
m6 kong tau6,m̃-kong-tãu,唔公道,不公道,
m6 kuan2,m̃-kuán,毋管,不管,
m6 kuan2,m̃-kuán,唔管,不管,
m6 monn2,m̃-móⁿ,毋孬,不好,
m6 monn2,m̃-móⁿ,唔孬,不好,
m6 monn2 chinn5,m̃-móⁿ-chîⁿ,毋孬錢,臟錢,
m6 monn2 chinn5,m̃-móⁿ-chîⁿ,唔孬錢,臟錢,
m6 oinn5,m̃-ôiⁿ,毋閒,沒空,
m6 oinn5,m̃-ôiⁿ,唔閒,沒空,
m6 pat,m̃-pat,毋識,不識,
m6 pat,m̃-pat,唔識,不識,
m6 penn5,m̃-pêⁿ,毋平,不平,
m6 penn5,m̃-pêⁿ,唔平,不平,
m6 si6,m̃-sĩ,毋是,不是,
m6 si6,m̃-sĩ,唔是,不是,
m6 sun6,m̃-sũn,毋順,不順,
m6 sun6,m̃-sũn,唔順,不順,
m6 thiann,m̃-thiaⁿ,毋聽,不聽,
m6 thiann,m̃-thiaⁿ,唔聽,不聽,
m6 tieh8,m̃-tie̍h,毋着,不對,
m6 tieh8,m̃-tie̍h,唔着,不對,
m6 tsai,m̃-tsai,毋知,不知,
m6 tsai,m̃-tsai,唔知,不知,
m6 tsai nang5,m̃-tsai-nâng,毋知儂,不省人事,
m6 tsai nang5,m̃-tsai-nâng,唔知人,不省人事,
m6 tsai thau5,m̃-tsai-thâu,毋知頭,不小心,
m6 tsai thau5,m̃-tsai-thâu,唔知頭,不小心,
m6 tui3,m̃-tùi,毋對,不對,
m6 tui3,m̃-tùi,唔對,不對,
ma2 hui,má-hui,嗎啡,,
ma2 tsou2,má-tsóu,媽祖,,
mainn3 chhie3,màiⁿ-chhiè,勿笑,不要笑,
mainn3 khau3,màiⁿ-khàu,勿哭,不要哭,
mainn3 sng3,màiⁿ-sǹg,勿算,不要計較,
mainn3 theng3 chiah8,màiⁿ-thèng-chia̍h,勿亂食,不要亂吃,
mak tieh8,mak--tie̍h,衊着,,
mak tieh8 nah sap,mak-tie̍h-nah-sap,衊着垃圾,染到垃圾,
mak8 bai5,ma̍k-bâi,目眉,眉毛,
mak8 chhi3 mo5,ma̍k-chhì-mô,目眥毛,眼睫毛,
mak8 chhi3 monn5,ma̍k-chhì-môⁿ,目毛,眼睫毛,
mak8 chiu,ma̍k-chiu,目睭,眼睛,
mak8 chiu hue,ma̍k-chiu-hue,目睭花,眼花,
mak8 chiu phue5,ma̍k-chiu-phûe,目皮,眼皮,
mak8 chiu phue5,ma̍k-chiu-phûe,目睭皮,眼皮,
mak8 chiu siap,ma̍k-chiu-siap,目睭澀,困倦,
mak8 jin5,ma̍k-jîn,目仁,眼球,
mak8 kiann3,ma̍k-kiàⁿ,目鏡,眼鏡,
mak8 siap,ma̍k--siap,目澀,困倦,
mak8 siap,ma̍k-siap,目澀,睏倦,
mak8 siap,ma̍k-siap,目澁,睏倦,
mak8 siap,ma̍k-siap,目𥍆,睏倦,
mak8 sit8,ma̍k-si̍t,目實,看頭,
mak8 tek8,ma̍k-te̍k,目的,,
mak8 thiann3,ma̍k--thiàⁿ,目痛,眼睛痛,
mak8 tsap,ma̍k-tsap,目汁,眼淚,
man2 kiu3,mán-kiù,挽救,,
man2 lien5,mán-liên,輓聯,,
man2 min7,mán-mīn,挽面,,
mang2 tiann3,máng-tiàⁿ,蠓帳,蚊帳,
mang2 tiann3,máng-tiàⁿ,蚊帳,蚊帳,
mang2 tiann3 kau,máng-tiàⁿ-kau,蠓帳鈎,蚊帳鈎,
mang2 tiann3 kau,máng-tiàⁿ-kau,蚊帳鈎,蚊帳鈎,
mang7 hek,māng-hek,綱黑,山竹,
mang7 ka,māng-ka,綱膠,波羅蜜,
mang7 kinn3,māng-kìⁿ,夢見,夢見,
mann2 tsou2,máⁿ-tsóu,媽祖,,
mann2 tsou2,máⁿ-tsóu,媽祖,媽祖,
mann3 khi2,màⁿ-khí,明旦起,明天,
mann3 meng5 khi2,màⁿ-mêng-khí,明旦瞑起,明天早上,
meh meh kie3,meh-meh-kiè,咩咩叫,,
meng5 khi2,mêng-khí,瞑起,早上,
meng5 khi2 tsa2 kua3,mêng-khí-tsá--kuà,瞑起早旰,早上,
meng5 liau2,mêng-liáu,明瞭,,
meng5 peh8,mêng-pe̍h,明白,明白,
menn5 hng,mêⁿ-hng,夜昏,晚上,
menn5 hng,mêⁿ-hng,暝昏,晚上,
menn5 hng kiann2,mêⁿ-hng-kiáⁿ,夜昏囝,傍晚,
menn5 hng kiann2,mêⁿ-hng-kiáⁿ,暝昏囝,傍晚,
menn5 kua3,mêⁿ-kuà,夜旰,夜間,
menn5 kua3,mêⁿ-kuà,暝旰,夜間,
menn5 kua3,mêⁿ--kuà,夜間,夜間,
menn5 ninn5,mêⁿ-nîⁿ,明年,明年,
menn5 tshat8,mêⁿ-tsha̍t,夜賊,夜賊,
miann sek,miaⁿ-sek,名色,名譽,
miann thau5,miaⁿ-thâu,名頭,名聲,
miann5 ke,miâⁿ-ke,名家,名家,
miann5 siann,miâⁿ-siaⁿ,名聲,名聲,
miann7 un7,miāⁿ-ūn,命運,命運,
miau2 mang5,miáu-mâng,渺茫,,
mien2 kiang2,mién-kiáng,勉強,勉強,
mih kai5,mih-kâi,乜个,什麼,
mih nang5,mih-nâng,乜儂,誰,
mih nang5,mih-nâng,乜人,誰,
min2 eng7,mín-ēng,免用,不用,
min5 ke,mîn--ke,民家,百姓,
min5 tshng5,mîn-tshn̂g,眠床,床,
min5 tshng5,mîn-tshn̂g,眠牀,床,
min7 hue6,mīn-hũe,面會,會面,
min7 liau liau chenn,mīn-liau-liau-cheⁿ,面䩍䩍青,臉色蒼白,
min7 liau liau chenn,mīn-liau-liau-cheⁿ,面䩍䩍靑,臉色蒼白,
min7 phue5,mīn-phûe,面皮,臉皮,
min7 phun5,mīn-phûn,面盆,臉盆,
min7 pou3,mīn-pòu,面布,(洗臉用)毛巾,
min7 sek,mīn-sek,面色,面色,
min7 thang2,mīn-tháng,面桶,面桶,
min7 thang2 ke3,mīn-tháng-kè,面桶架,面桶架,
min7 tsur2,mīn-tsṳ́,面子,,
minn5 hiunn5,mîⁿ-hiûⁿ,棉裘,棉襖,
minn5 ienn5,mîⁿ-iêⁿ,棉羊,棉羊,
minn5 kha,mîⁿ-kha,糜骹,爛腳,
minn5 kha,mîⁿ-kha,糜腳,爛腳,
minn7 hun2,mīⁿ-hún,麵粉,,
minn7 pau,mīⁿ-pau,麫包,,
minn7 suann3 kou5,mīⁿ-suàⁿ-kôu,麵線餬,,
mng2 tshan,mńg-tshan,晚餐,晚餐,
mng5 chheng7,mn̂g-chhēng,門拴,門拴,
mng5 sinn3 au6,mn̂g-sìⁿ-ãu,門扇後,門後,
mng5 tshuann3,mn̂g-tshuàⁿ,門閂,門閂,
mng7 hau7,mn̄g-hāu,問候,問候,
mo tshau2,mo-tsháu,茅草,野草,
mo5 huang2,mô-huáng,模仿,,
mo6 chi3 meng5,mõ-chì-mêng,墓誌銘,,
mok8 sur,mo̍k-sṳ,牧師,牧師,
mong5 in,mông-in,濛煙,,
mong5 in,mông-in,濛煙,迷霧,
mong5 kou2,mông-kóu,蒙古,,
mong5 lan7,mông-lān,蒙難,,
mong5 long5,mông-lông,矇矓,,
mong5 long5,mông-lông,朦朧,,
mong5 phien3,mông-phièn,矇騙,,
monn3 kui2,mòⁿ-kúi,魔鬼,魔鬼,
monn5 sinn5,môⁿ-sîⁿ,毛扇,毛扇,
mua5 huan5,muâ-huân,麻煩,,
mua5 huang,muâ-huang,痲瘋,,
mua5 tsui3,muâ-tsùi,麻醉,,
muann5 chiah chiou2,muâⁿ-chiah-chióu,麻雀鳥,麻雀鳥,
muann5 phue5,muâⁿ-phûe,麻皮,麻皮,
muann5 pou3,muâⁿ-pòu,麻布,麻布,
mueh8 chheng khih,mu̍eh-chheng-khih,物清潔,弄乾淨,
mueh8 chheng khih,mu̍eh-chheng-khih,物淸潔,弄乾淨,
mueh8 chiah8,mu̍eh-chia̍h,物食,蜜餞,
mueh8 hiann5,mu̍eh-hiâⁿ,物燃,弄燃,
mueh8 ho2,mu̍eh-hó,物好,弄好,
mueh8 kiann5,mu̍eh-kiâⁿ,物件,物件,
mueh8 nang5 kiann,mu̍eh-nâng-kiaⁿ,物儂驚,嚇人,
mueh8 nang5 kiann,mu̍eh-nâng-kiaⁿ,物人驚,嚇人,
mueh8 ngiap8,mu̍eh-ngia̍p,物業,物業,
mueh8 phua3,mu̍eh-phuà,物破,弄破,
mueh8 tiou3,mu̍eh-tiòu,物掉,弄掉,
mueh8 uan,mu̍eh-uan,物彎,弄彎,
muenn5,mûeⁿ,糜,粥,
na6 hue2,nã-húe,爁火,,
nah sap,nah-sap,垃圾,垃圾,
nah sap sienn3,nah-sap-sièⁿ,垃圾相,不乾不淨,
nainn6 m6 khur3,nãiⁿ-m̃-khṳ̀,耐毋去,忍不了,
nainn6 m6 khur3,nãiⁿ-m̃-khṳ̀,耐唔去,忍不了,
nam2 tsai7 ji7,nám-tsāi-jī,攬儎字,提貨單,
nam3 thou5,nàm-thôu,坔塗,泥巴,
nam5 poinn5,nâm-pôiⁿ,南爿,南邊,
nam5 poinn5,nâm-pôiⁿ,南畔,南邊,
nang5 chheng5,nâng-chhêng,儂情,人情,
nang5 chheng5,nâng-chhêng,人情,人情,
nang5 chheng5,nâng-chhêng,儂情,面子,
nang5 chheng5,nâng-chhêng,人情,面子,
nang5 chhiann5,nâng-chhiâⁿ,儂情,恩情,
nang5 chhiann5,nâng-chhiâⁿ,人情,恩情,
nang5 ke,nâng-ke,人家,,
nang5 kheh,nâng-kheh,儂客,客人,
nang5 kheh,nâng-kheh,人客,客人,
nang5 sur7,nâng-sṳ̄,儂事,人情世故,
nang5 sur7,nâng-sṳ̄,人事,人情世故,
nang5 un5 ek8 un5,nâng-ûn-e̍k-ûn,人云亦云,,
nann7 si6,nāⁿ-sĩ,若是,如果,
nek8 kui3,ne̍k-kùi,肉桂,肉桂,
nek8 oinn2,ne̍k-óiⁿ,龍眼,龍眼,
nek8 oinn2 kuann,ne̍k-óiⁿ-kuaⁿ,龍眼干,龍眼干,
nek8 tsho7,ne̍k-tshō,肉脞,肉末,
ng ng kie3,ng-ng-kiè,嗡嗡叫,嗡嗡叫,
ng2,ńg,䘼,袖子,
ng5 lah8,n̂g-la̍h,黃蜡,黃蜡,
ng5 sng,n̂g-sng,黃酸,黃酸,
ng5 sng sou2 san2,n̂g-sng-sóu-sán,黃𦅇瘦㾪,面黃肌瘦,
ng5 tang5,n̂g-tâng,黃銅,黃銅,
ngai5,ngâi,獃,呆,
ngai5 khou2,ngâi-khóu,捱苦,,
ngak8 bo2,nga̍k-bó,岳母,岳母,
ngak8 hu5,nga̍k-hû,鱷魚,鱷魚,
ngak8 pe6,nga̍k-pẽ,岳父,,
ngak8 pe6,nga̍k-pẽ,岳父,岳父,
ngan2 tsai6,ngán-tsãi,眼在,現在,
ngan5 thinn si5,ngân-thiⁿ-sî,凝天時,,
nge6 ainn3,ngẽ-àiⁿ,硬欲,硬要,
nge6 kioh,ngẽ-kioh,硬骹,苦力,
nge6 kioh,ngẽ-kioh,硬腳,苦力,
nge6 liah8,ngẽ-lia̍h,硬掠,硬抓,
ngek8 huang,nge̍k-huang,逆風,逆風,
ngek8 lau5,nge̍k-lâu,逆流,逆流,
ngek8 lut8,nge̍k-lu̍t,逆律,逆律,
ngeng5 ku3,ngêng-kù,凝固,,
ngi2 tsue6,ngí-tsũe,議罪,議罪,
ngi6 thong2,ngĩ-thóng,義塚,,
ngia2 tsai6,ngiá-tsãi,雅在,很漂亮,
ngien3 chiah8,ngièn chia̍h,願食,,
ngim5 si,ngîm-si,吟詩,吟詩,
ngiou thau5 chiou2,ngiou-thâu-chióu,貓頭鳥,貓頭鷹,
ngiou2 tshur2,ngióu-tshṳ́,老鼠,老鼠,
ngiou2 tshur2 tak,ngióu-tshṳ́-tak,老鼠觸,老鼠觸,
ngo6 tieh8,ngõ--tie̍h,遇着,遇到,
ngoinn2 penn5,ngóiⁿ-pêⁿ,研平,,
ngou2 chhenn,ngóu-chheⁿ,伍星,行星,
ngou2 hun2,ngóu-hún,藕粉,藕粉,
ngou2 hur5,ngóu-hṳ̂,𩵱魚,馬鱍魚,
ngou2 jien5,ngóu-jiên,偶然,偶然,
ngou2 kiann,ngóu-kiaⁿ,五經,五經,
ngou2 kok,ngóu-kok,五穀,,
ngou2 senn,ngóu-seⁿ,伍牲,伍牲,
ngou6 kak,ngõu-kak,五穀,,
ngou6 kak,ngõu-kak,五穀,五穀,
ngou6 kenn,ngõu-keⁿ,五更,五更,
nguan5 ke3,nguân-kè,原價,原價,
nguan5 ko3,nguân-kò,原告,原告,
nguan5 kurn,nguân-kṳn,原根,根本,
nguan5 lai5,nguân-lâi,原來,原來,
nguan5 sue3,nguân-sùe,元帥,元帥,
ngui5 phue5,ngûi-phûe,危皮,木頭人,
ngurn5 hang5,ngṳ̂n-hâng,銀行,銀行,
ngurn5 khou3,ngṳ̂n-khòu,銀庫,金庫,
ngurn5 tiann6,ngṳ̂n-tiãⁿ,銀錠,銀錠,
ngurn5 tsu,ngṳ̂n-tsu,銀硃,銀硃,
ngurn5 tsui2,ngṳ̂n-tsúi,銀水,銀水,
ngurn5 tuann,ngṳ̂n-tuaⁿ,銀單,匯票,
ngurt kiann,ngṳt-kiaⁿ,吃驚,,
ni bo2,ni-bó,嬭母,奶媽,
ni2 buan6,ní-buãn,瀰漫,,
ni2 pou2,ní-póu,彌補,,
ni5 ninn,nî-niⁿ,年年,年年,
ni5lam5,ni5lâm,呢喃,,
niam ninn5,niam-nîⁿ,黏昵,黏昵,
niann2 sur7 hu2,niáⁿ-sṳ̄-hú,領事府,領事府,
niann2 sur7 kuann,niáⁿ-sṳ̄-kuaⁿ,領事官,領事官,
nienn5 chhe,niêⁿ-chhe,粮差,粮差,
nienn5 ti7,niêⁿ-tī,量地,量地,
nih kiann2,nih-kiáⁿ,攝囝,攝子,
nih mak8,nih-ma̍k,𥍉目,,
nih mak8,nih-ma̍k,攝目,眨眼,
ninn bo2,niⁿ-bó,奶母,奶媽,
ninn tang,niⁿ-tang,年冬,年頭,
ninn2 kai5 pou3,níⁿ--kâi-pòu,染嘅布,染的布,
ninn5 kou phua5,nîⁿ-kou-phuâ,尼姑婆,尼姑,
niu2 khau3,niú-khàu,鈕釦,,
nng6 chheng,nñg-chheng,卵清,蛋白,
nng6 chheng,nñg-chheng,卵淸,蛋白,
nng6 jin5,nñg-jîn,卵仁,蛋黃,
noinn5 chi2,nôiⁿ-chí,蓮子,蓮子,
noinn5 hue,nôiⁿ-hue,蓮花,蓮花,
noinn5 kak,nôiⁿ-kak,蓮角,菱角,
noinn5 kau6,nôiⁿ-kãu,蓮茭,,
noinn5 kue2,nôiⁿ-kúe,荔果,荔枝,
nonn6 kai5,nõⁿ-kâi,兩个,兩個,
nonn6 khou puann3,nõⁿ-khou-puàⁿ,兩箍半,兩箍半,
nonn6 kurn puann3,nõⁿ-kṳn-puàⁿ,二斤半,二斤半,
nou5 pok8,nôu-po̍k,奴僕,,
nounn5 kiann2,nôuⁿ-kiáⁿ,孥囝,孩子,
nounn5 kiann2 khuan2,nôuⁿ-kiáⁿ-khuán,孥囝款,孩子氣,
nounn5 tshai5,nôuⁿ-tshâi,奴才,奴才,
o lo2,o-ló,呵咾,稱讚,
o tso,o-tso,污糟,垃圾,
o5 khak kiann3,ô-khak-kiàⁿ,蠔殼鏡,珍珠母,
o5 tsu,ô-tsu,蠔珠,珍珠,
oh thak8,oh tha̍k,惡讀,,
oh than3,oh-thàn,難趁,難賺,
oh ui,oh-ui,難醫,難醫,
oh8 kou2,o̍h-kóu,學古,談古,
oi tieh8,oi--tie̍h,挨着,,
oi tieh8,oi--tie̍h,挨着,挨着,
oi5 sueh,ôi-sueh,鞋刷,鞋刷,
oi5 thua,ôi-thua,鞋拖,拖鞋,
oi5 toi2,ôi-tói,鞋底,鞋底,
oi5 tua3,ôi-tuà,鞋帶,鞋帶,
oi6 chiah8,õi-chia̍h,會食,能吃,
oi6 tit,õi-tit,會得,能夠,
oi6 toh8 hue2,õi-to̍h-húe,會着火,會着火,
oi7 leng5 tso3 tit,ōi--lêng-tsò-tit,會能做得,能夠做,
oih8 soih,o̍ih-soih,狹細,(心胸)狹隘,
oinn5 iu5,ôiⁿ-iû,閒遊,閒遊,
ong3 si,òng-si,盎司,,
ou am3,ou-àm,烏暗,黑暗,
ou bak8,ou-ba̍k,烏木,烏木,
ou huan,ou-huan,烏番,黑人,
ou hur5,ou-hṳ̂,烏魚,黑魚,
ou iu5,ou-iû,烏油,柏油,
ou min7 nang5,ou-mīn-nâng,烏面儂,黑人,
ou min7 nang5,ou-mīn-nâng,烏面人,黑人,
ou ninn5,ou-nîⁿ,烏呢,黑呢,
ou ou,ou-ou,烏烏,黑,
ou pou3,ou-pòu,烏布,黑布,
ou pou3 oi5,ou-pòu-ôi,烏布鞋,黑布鞋,
ou thng5,ou-thn̂g,烏糖,黑糖,
ou5 sek,ôu sek,胡適,,
pa lak,pa-lak,或者,或者,
pa loi2,pa-lói,擺弄,戲弄,
pa loi2 ho2,pa-lói-hó,擺弄好,修理好,
pa2 siu2,pá-siú,把守,,
pa6 cheh,pã-cheh,罷職,免職,
pah oh,pah-oh,拍呃,打嗝,
pah oh,pah-oh,打呃,打嗝,
pai2 thuann,pái-thuaⁿ,擺攤,,
pai3 a kong,pài-a-kong,拜阿公,拜祖先,
pai3 it,pài-it,拜一,星期一,
pai3 ji7,pài-jī,拜二,星期二,
pai3 lak8,pài-la̍k,拜六,星期六,
pai3 lau6 ia5,pài-lãu-iâ,拜老爺,拜神,
pai3 ngou6,pài-ngõu,拜五,星期五,
pai3 sann,pài-saⁿ,拜三,星期三,
pai3 si3,pài-sì,拜四,星期四,
pai3 siang6 ti3 nang5,pài-siãng-tì-nâng,拜上帝儂,拜上帝的人,
pai3 siang6 ti3 nang5,pài-siãng-tì-nâng,拜上帝人,拜上帝的人,
pai3 thoh,pài-thoh,拜託,,
pai3 thoh,pài-thoh,拜託,拜託,
pai5 chhiang5,pâi-chhiâng,排場,,
pai5 chhiang5,pâi-chhiâng,排塲,,
pai5 chhiang5,pâi-chhiâng,排場,華麗,
pai5 hue5,pâi-hûe,排回,常常,
